[2020-12-21 14:56:07.070] [Logger] [info] Visit Function Decl: strip_whitespace
[2020-12-21 14:56:07.076] [Logger] [info] Visit Function Decl: is_numeric
[2020-12-21 14:56:07.081] [Logger] [info] Visit Function Decl: check_numeric
[2020-12-21 14:56:07.090] [Logger] [info] Visit Function Decl: func_word
[2020-12-21 14:56:07.100] [Logger] [info] Visit Function Decl: func_wordlist
[2020-12-21 14:56:07.107] [Logger] [info] Visit Function Decl: func_findstring
[2020-12-21 14:56:07.121] [Logger] [info] Visit Function Decl: func_foreach
[2020-12-21 14:56:07.145] [Logger] [info] Visit Function Decl: func_filter_filterout
[2020-12-21 14:56:07.155] [Logger] [info] Visit Function Decl: func_strip
[2020-12-21 14:56:07.166] [Logger] [info] Visit Function Decl: func_error
[2020-12-21 14:56:07.182] [Logger] [info] Visit Function Decl: func_sort
[2020-12-21 14:56:07.192] [Logger] [info] Visit Function Decl: func_if
[2020-12-21 14:56:07.198] [Logger] [info] Visit Function Decl: func_wildcard
[2020-12-21 14:56:07.207] [Logger] [info] Visit Function Decl: fold_newlines
[2020-12-21 14:56:07.236] [Logger] [info] Visit Function Decl: func_shell
[2020-12-21 14:56:07.241] [Logger] [info] Visit Function Decl: func_call
[2020-12-21 14:56:07.269] [Logger] [info] Visit Function Decl: expand_builtin_function
[2020-12-21 14:56:07.299] [Logger] [info] Visit Function Decl: handle_function
[2020-12-21 14:56:07.315] [Logger] [info] Visit Function Decl: func_call
[2020-12-21 14:56:07.476] [Logger] [info] Visit Function Decl: print_spaces
[2020-12-21 14:56:07.488] [Logger] [info] Visit Function Decl: vpath_search
[2020-12-21 14:56:07.517] [Logger] [info] Visit Function Decl: pattern_search
[2020-12-21 14:56:07.540] [Logger] [info] Visit Function Decl: try_implicit_rule
[2020-12-21 14:56:07.636] [Logger] [info] Visit Function Decl: pattern_search
[2020-12-21 14:56:07.643] [Logger] [info] Visit Function Decl: sigemptyset
[2020-12-21 14:56:07.649] [Logger] [info] Visit Function Decl: sigprocmask
[2020-12-21 14:56:07.652] [Logger] [info] Visit Function Decl: dup
[2020-12-21 14:56:07.657] [Logger] [info] Visit Function Decl: dup2
[2020-12-21 14:56:07.661] [Logger] [info] Visit Function Decl: execvp
[2020-12-21 14:56:07.665] [Logger] [info] Visit Function Decl: _exit
[2020-12-21 14:56:07.669] [Logger] [info] Visit Function Decl: getenv
[2020-12-21 14:56:07.673] [Logger] [info] Visit Function Decl: getloadavg
[2020-12-21 14:56:07.677] [Logger] [info] Visit Function Decl: strsignal
[2020-12-21 14:56:07.687] [Logger] [info] Visit Function Decl: message
[2020-12-21 14:56:07.691] [Logger] [info] Visit Function Decl: die
[2020-12-21 14:56:07.715] [Logger] [info] Visit Function Decl: user_access
[2020-12-21 14:56:07.721] [Logger] [info] Visit Function Decl: make_access
[2020-12-21 14:56:07.727] [Logger] [info] Visit Function Decl: child_access
[2020-12-21 14:56:07.847] [Logger] [info] Visit Function Decl: start_waiting_jobs
[2020-12-21 14:56:07.852] [Logger] [info] Visit Function Decl: exec_command
[2020-12-21 14:56:07.856] [Logger] [info] Visit Function Decl: block_sigs
[2020-12-21 14:56:07.860] [Logger] [info] Visit Function Decl: unblock_sigs
[2020-12-21 14:56:07.866] [Logger] [info] Visit Function Decl: target_environment
[2020-12-21 14:56:07.879] [Logger] [info] Visit Function Decl: fcntl
[2020-12-21 14:56:07.883] [Logger] [info] Visit Function Decl: wait
[2020-12-21 14:56:07.887] [Logger] [info] Visit Function Decl: waitpid
[2020-12-21 14:56:07.891] [Logger] [info] Visit Function Decl: start_remote_job
[2020-12-21 14:56:07.895] [Logger] [info] Visit Function Decl: start_remote_job_p
[2020-12-21 14:56:07.899] [Logger] [info] Visit Function Decl: remote_status
[2020-12-21 14:56:07.903] [Logger] [info] Visit Function Decl: child_handler
[2020-12-21 14:56:07.907] [Logger] [info] Visit Function Decl: free_child
[2020-12-21 14:56:07.911] [Logger] [info] Visit Function Decl: start_job_command
[2020-12-21 14:56:07.915] [Logger] [info] Visit Function Decl: load_too_high
[2020-12-21 14:56:07.919] [Logger] [info] Visit Function Decl: job_next_command
[2020-12-21 14:56:07.924] [Logger] [info] Visit Function Decl: start_waiting_job
[2020-12-21 14:56:07.970] [Logger] [info] Visit Function Decl: child_error
[2020-12-21 14:56:07.982] [Logger] [info] Visit Function Decl: child_handler
[2020-12-21 14:56:08.024] [Logger] [info] Visit Function Decl: reap_children
[2020-12-21 14:56:08.037] [Logger] [info] Visit Function Decl: free_child
[2020-12-21 14:56:08.069] [Logger] [info] Visit Function Decl: block_sigs
[2020-12-21 14:56:08.087] [Logger] [info] Visit Function Decl: unblock_sigs
[2020-12-21 14:56:08.126] [Logger] [info] Visit Function Decl: start_job_command
[2020-12-21 14:56:08.138] [Logger] [info] Visit Function Decl: start_waiting_job
[2020-12-21 14:56:08.165] [Logger] [info] Visit Function Decl: new_job
[2020-12-21 14:56:08.172] [Logger] [info] Visit Function Decl: job_next_command
[2020-12-21 14:56:08.187] [Logger] [info] Visit Function Decl: load_too_high
[2020-12-21 14:56:08.193] [Logger] [info] Visit Function Decl: start_waiting_jobs
[2020-12-21 14:56:08.199] [Logger] [info] Visit Function Decl: child_execute_job
[2020-12-21 14:56:08.212] [Logger] [info] Visit Function Decl: exec_command
[2020-12-21 14:56:08.216] [Logger] [info] Visit Function Decl: construct_command_argv_internal
[2020-12-21 14:56:08.305] [Logger] [info] Visit Function Decl: construct_command_argv_internal
[2020-12-21 14:56:08.316] [Logger] [info] Visit Function Decl: construct_command_argv
[2020-12-21 14:56:08.321] [Logger] [info] Visit Function Decl: setlocale
[2020-12-21 14:56:08.339] [Logger] [info] Visit Function Decl: textdomain
[2020-12-21 14:56:08.349] [Logger] [info] Visit Function Decl: bindtextdomain
[2020-12-21 14:56:08.356] [Logger] [info] Visit Function Decl: sigaddset
[2020-12-21 14:56:08.362] [Logger] [info] Visit Function Decl: sigaction
[2020-12-21 14:56:08.374] [Logger] [info] Visit Function Decl: fclose
[2020-12-21 14:56:08.379] [Logger] [info] Visit Function Decl: fdopen
[2020-12-21 14:56:08.384] [Logger] [info] Visit Function Decl: setlinebuf
[2020-12-21 14:56:08.389] [Logger] [info] Visit Function Decl: fprintf
[2020-12-21 14:56:08.395] [Logger] [info] Visit Function Decl: fread
[2020-12-21 14:56:08.400] [Logger] [info] Visit Function Decl: fwrite
[2020-12-21 14:56:08.405] [Logger] [info] Visit Function Decl: feof
[2020-12-21 14:56:08.410] [Logger] [info] Visit Function Decl: tolower
[2020-12-21 14:56:08.416] [Logger] [info] Visit Function Decl: ctime
[2020-12-21 14:56:08.421] [Logger] [info] Visit Function Decl: chdir
[2020-12-21 14:56:08.426] [Logger] [info] Visit Function Decl: getcwd
[2020-12-21 14:56:08.546] [Logger] [info] Visit Function Decl: atof
[2020-12-21 14:56:08.551] [Logger] [info] Visit Function Decl: mkstemp
[2020-12-21 14:56:08.556] [Logger] [info] Visit Function Decl: log_working_directory
[2020-12-21 14:56:08.562] [Logger] [info] Visit Function Decl: open_tmpfile
[2020-12-21 14:56:08.568] [Logger] [info] Visit Function Decl: define_default_variables
[2020-12-21 14:56:08.586] [Logger] [info] Visit Function Decl: set_default_suffixes
[2020-12-21 14:56:08.593] [Logger] [info] Visit Function Decl: install_default_suffix_rules
[2020-12-21 14:56:08.604] [Logger] [info] Visit Function Decl: install_default_implicit_rules
[2020-12-21 14:56:08.610] [Logger] [info] Visit Function Decl: build_vpath_lists
[2020-12-21 14:56:08.617] [Logger] [info] Visit Function Decl: construct_include_path
[2020-12-21 14:56:08.853] [Logger] [info] Visit Function Decl: tilde_expand
[2020-12-21 14:56:08.859] [Logger] [info] Visit Function Decl: read_all_makefiles
[2020-12-21 14:56:08.864] [Logger] [info] Visit Function Decl: update_goal_chain
[2020-12-21 14:56:08.879] [Logger] [info] Visit Function Decl: define_automatic_variables
